"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_norm","batch_size","dropout","lr","negative_slope","epoch","val_acc_epoch","train_acc_batch","train_acc_epoch","train_loss_agr_epoch","train_loss_batch","train_loss_con_epoch","train_loss_epoch","train_loss_ext_epoch","train_loss_neu_epoch","train_loss_ope_epoch","trainer/global_step","val_loss_agr_epoch","val_loss_con_epoch","val_loss_epoch","val_loss_ext_epoch","val_loss_neu_epoch","val_loss_ope_epoch"
"prime-sweep-7","finished","-","krl1","","2022-05-30T15:39:11.000Z","208","l0vbmflq","false","16","0.4","0.0005","0.05","49","0.6808043718338013","0.9833333492279052","0.8407956957817078","0.13613584637641907","0.114651158452034","0.21779505908489227","0.1733240932226181","0.16861823201179504","0.16207456588745117","0.18199674785137177","1224","0.5940706133842468","0.6113497614860535","0.6056919097900391","0.606964647769928","0.5528066754341125","0.6632680296897888"
"winter-sweep-6","finished","-","krl1","","2022-05-30T15:35:51.000Z","197","l0vbmflq","true","8","0.1","0.000005","0","35","0.5983290672302246","0.699999988079071","0.6859595775604248","0.5500556230545044","0.5179449319839478","0.7111424803733826","0.5509423017501831","0.5147064328193665","0.4669116139411926","0.5118954181671143","1749","0.6649696230888367","0.6951589584350586","0.662739634513855","0.6058031320571899","0.6497669816017151","0.6979992389678955"
"prime-sweep-5","finished","-","krl1","","2022-05-30T15:33:23.000Z","141","l0vbmflq","false","8","0","0.00005","0.02","29","0.6925696730613708","0.8999999761581421","0.7296760678291321","0.22480010986328125","0.30012112855911255","0.42611026763916016","0.32893431186676025","0.2619345486164093","0.2798915207386017","0.45193517208099365","1449","0.2614414691925049","1.3677349090576172","0.8182963728904724","1.0206838846206665","0.5093808770179749","0.9322404861450196"
"denim-sweep-4","finished","-","krl1","","2022-05-30T15:32:09.000Z","69","l0vbmflq","false","2","0.3","0.01","0.1","5","0.637499988079071","0.800000011920929","0.5497979521751404","4274.0380859375","225.2713623046875","6355.8798828125","3984.951416015625","2479.96044921875","4601.544921875","2213.334228515625","989","10787869","12482513","7823009","6839534","343521.1875","8661609"
"colorful-sweep-3","finished","-","krl1","","2022-05-30T15:31:11.000Z","54","l0vbmflq","true","8","0","0.000005","0.05","9","0.5330097079277039","0.699999988079071","0.8076879978179932","0.4987618923187256","0.6121549010276794","0.5029687285423279","0.5025602579116821","0.4891388714313507","0.5053843855857849","0.5165472626686096","449","0.6758665442466736","0.7709876894950867","0.6928157210350037","0.5223149061203003","0.7797920107841492","0.7151176333427429"
"olive-sweep-2","finished","-","krl1","","2022-05-30T15:29:51.000Z","75","l0vbmflq","true","8","0","0.005","0.01","14","0.678164541721344","0.8500000238418579","0.7459235191345215","0.3318394720554352","0.31726405024528503","0.4572663903236389","0.39556649327278137","0.39998099207878113","0.3184747099876404","0.4702709913253784","699","0.47935882210731506","0.9851834774017334","0.7919118404388428","0.289629191160202","0.8452782034873962","1.3601093292236328"
"silver-sweep-1","finished","-","krl1","","2022-05-30T15:28:16.000Z","90","l0vbmflq","false","2","0.1","0.000005","0.02","6","0.6731343269348145","0.699999988079071","0.6422559022903442","0.61970454454422","0.6278661489486694","0.5937870144844055","0.6381338238716125","0.6531568765640259","0.6683481931686401","0.6556722521781921","1187","0.618121325969696","0.5982460379600525","0.6377513408660889","0.6301628351211548","0.6441072225570679","0.6981191039085388"
"revived-sweep-10","finished","-","krl1","","2022-05-30T15:04:28.000Z","102","5fokckce","true","8","0.2","0.01","0.02","13","0.6578231453895569","0.75","0.748445987701416","0.31576111912727356","0.3729211986064911","0.4007211923599243","0.3900563716888428","0.38285669684410095","0.3772228956222534","0.4737198948860169","649","0.9953680038452148","0.8407387733459473","0.7750298976898193","0.5273327231407166","0.5471765398979187","0.9645333290100098"
"expert-sweep-9","finished","-","krl1","","2022-05-30T14:42:20.000Z","1323","5fokckce","false","64","0.1","0.000005","0","395","0.6908402442932129","0.746874988079071","0.6740902662277222","0.3831536173820496","0.5103697180747986","0.528481662273407","0.5265784859657288","0.49659863114356995","0.5689704418182373","0.6556879878044128","2764","0.4609612226486206","0.7886750102043152","0.5822251439094543","0.4501884877681732","0.5031198263168335","0.7081812024116516"
"swift-sweep-8","finished","-","krl1","","2022-05-30T14:41:21.000Z","55","5fokckce","true","2","0.1","0.0005","0.02","3","0.6323529481887817","0.8999999761581421","0.6419191956520081","0.6389185190200806","0.5049557089805603","0.5999013185501099","0.6438205242156982","0.6574407815933228","0.6693630218505859","0.6534790396690369","593","0.6816306710243225","0.6232666373252869","0.6622205376625061","0.5966907143592834","0.698948085308075","0.7105666995048523"
"toasty-sweep-7","finished","-","krl1","","2022-05-30T14:40:17.000Z","60","5fokckce","true","2","0","0.00001","0.01","3","0.5264706015586853","0.30000001192092896","0.5313131213188171","0.6738560199737549","0.7644628882408142","0.6673104763031006","0.699658215045929","0.6878227591514587","0.6998026967048645","0.7694994807243347","593","0.7164573073387146","0.6425418257713318","0.6898694038391113","0.68268221616745","0.67844158411026","0.7292239665985107"
"devout-sweep-6","finished","-","krl1","","2022-05-30T14:39:02.000Z","69","5fokckce","false","4","0.2","0.00001","0.02","7","0.6411392688751221","0.6000000238418579","0.6305195093154907","0.6245779395103455","0.694450318813324","0.5967562794685364","0.6399607062339783","0.6560453176498413","0.6693084239959717","0.653115451335907","692","0.6564509868621826","0.6576594710350037","0.6706262826919556","0.6557512283325195","0.686846911907196","0.6964225172996521"
