"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_norm","batch_size","dropout","lr","negative_slope","epoch","val_acc_epoch","train_acc_batch","train_acc_epoch","train_loss_agr_epoch","train_loss_batch","train_loss_con_epoch","train_loss_epoch","train_loss_ext_epoch","train_loss_neu_epoch","train_loss_ope_epoch","trainer/global_step","val_loss_agr_epoch","val_loss_con_epoch","val_loss_epoch","val_loss_ext_epoch","val_loss_neu_epoch","val_loss_ope_epoch"
"eager-sweep-1","finished","-","krl1","","2022-06-01T07:52:03.000Z","1472","b6cfk90a","false","4","0.4","0.0005","0.05","5","0.6291007995605469","0.800000011920929","0.6578524708747864","0.5852534174919128","0.5532822012901306","0.6322953104972839","0.6104854941368103","0.6361114382743835","0.6436166763305664","0.5551477074623108","38993","0.6170493960380554","0.6958547234535217","0.6567614078521729","0.6817250847816467","0.6967333555221558","0.5924445986747742"
"northern-sweep-20","finished","-","krl1","","2022-05-31T22:59:10.000Z","2816","waaaj393","false","2","0.1","0.00001","0","5","0.639926552772522","0.4000000059604645","0.6614581942558289","0.5687828660011292","0.809136688709259","0.5922953486442566","0.5833244323730469","0.6077820062637329","0.6181721687316895","0.5295923352241516","77987","0.609219491481781","0.6615343689918518","0.6372759938240051","0.6477928161621094","0.6641599535942078","0.6036736369132996"
"dutiful-sweep-19","finished","-","krl1","","2022-05-31T22:30:44.000Z","1704","waaaj393","true","8","0","0.00001","0.1","10","0.6447222828865051","0.8500000238418579","0.8209556937217712","0.254852294921875","0.23587647080421448","0.2789437472820282","0.2628169357776642","0.257972776889801","0.2726001739501953","0.2497159838676453","35749","0.6377556920051575","0.6548323035240173","0.6543028354644775","0.7040746808052063","0.7056772708892822","0.5691741108894348"
"sweepy-sweep-18","finished","-","krl1","","2022-05-31T22:06:30.000Z","1452","waaaj393","true","2","0.2","0.005","0.01","2","0.6371466517448425","0.8999999761581421","0.6312509775161743","0.6013725996017456","0.5569989085197449","0.6733911633491516","0.6466059684753418","0.6856316328048706","0.6770004034042358","0.5956358313560486","38993","0.6098447442054749","0.6779664158821106","0.6447295546531677","0.6823874115943909","0.6856610178947449","0.5677881836891174"
"peachy-sweep-17","finished","-","krl1","","2022-05-31T21:24:51.000Z","2497","waaaj393","true","2","0.2","0.0001","0.05","4","0.6355015635490417","0.30000001192092896","0.6305631399154663","0.6021021008491516","0.9797474145889282","0.6765192747116089","0.6480550169944763","0.6876640915870667","0.6783502101898193","0.5956390500068665","64989","0.6130877137184143","0.6780862212181091","0.6546027064323425","0.6914669275283813","0.6852192878723145","0.6051534414291382"
"fine-sweep-16","finished","-","krl1","","2022-05-31T21:02:25.000Z","1345","waaaj393","false","2","0.4","0.00001","0.01","2","0.4173825979232788","0.800000011920929","0.651556670665741","0.5866973996162415","0.5334526896476746","0.6338247656822205","0.6125265955924988","0.6400659680366516","0.6478009819984436","0.5542429685592651","38993","0.7107090950012207","0.7136923670768738","0.7065016627311707","0.6824120283126831","0.7137139439582825","0.711980938911438"
"revived-sweep-15","finished","-","krl1","","2022-05-31T20:21:26.000Z","2458","waaaj393","false","8","0.4","0.0001","0","18","0.6152613162994385","1","0.8364764451980591","0.10088054090738297","0.010331838391721249","0.10221267491579056","0.10211042314767838","0.10643184185028076","0.12406806647777556","0.0769590511918068","61749","0.6471894383430481","0.6947888135910034","0.6546511650085449","0.6493862271308899","0.676703155040741","0.6051881313323975"
"crimson-sweep-14","finished","-","krl1","","2022-05-31T19:18:54.000Z","3750","waaaj393","false","8","0.2","0.00001","0","28","0.6079938411712646","0.800000011920929","0.7206951975822449","0.41935452818870544","0.5143288969993591","0.45464006066322327","0.4086324870586395","0.4273368716239929","0.3852112591266632","0.35661959648132324","94249","0.5991805195808411","0.6576627492904663","0.6229797005653381","0.6461064219474792","0.6526226997375488","0.5593258738517761"
"dandy-sweep-13","finished","-","krl1","","2022-05-31T18:47:28.000Z","1884","waaaj393","true","8","0.1","0.01","0.02","11","0.6446027159690857","0.8500000238418579","0.7462045550346375","0.4148212671279907","0.24508003890514377","0.4713403582572937","0.40032821893692017","0.3976660072803498","0.3630392849445343","0.35477474331855774","38999","0.6120911240577698","0.6909518241882324","0.6846248507499695","0.7177121043205261","0.7798162698745728","0.6225531101226807"
"scarlet-sweep-12","finished","-","krl1","","2022-05-31T18:21:50.000Z","1536","waaaj393","true","8","0.1","0.00005","0.1","9","0.6443917751312256","0.8999999761581421","0.8054770231246948","0.27074047923088074","0.2922140061855316","0.29369789361953735","0.2665587067604065","0.26981398463249207","0.2718605399131775","0.22668081521987915","32499","0.7087027430534363","0.8171969652175903","0.72260981798172","0.7284466028213501","0.7511821985244751","0.607520341873169"
