"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_norm","batch_size","dropout","lr","negative_slope","epoch","val_acc_epoch","train_acc_batch","train_acc_epoch","train_loss_agr_epoch","train_loss_batch","train_loss_con_epoch","train_loss_epoch","train_loss_ext_epoch","train_loss_neu_epoch","train_loss_ope_epoch","trainer/global_step","val_loss_agr_epoch","val_loss_con_epoch","val_loss_epoch","val_loss_ext_epoch","val_loss_neu_epoch","val_loss_ope_epoch"
"winter-sweep-2","finished","-","krl1","","2022-06-01T10:30:38.000Z","876","ztkzwxzk","false","8","0.1","0.0005","0","15","0.6628172993659973","0.675000011920929","0.7259590029716492","0.49850499629974365","0.5251767635345459","0.4985487163066864","0.48355385661125183","0.4784302711486816","0.5048141479492188","0.43746936321258545","51967","0.5953701734542847","0.6262140274047852","0.6119608283042908","0.6093422174453735","0.6704775094985962","0.5584000945091248"
"dauntless-sweep-6","finished","-","krl1","","2022-06-01T09:18:03.000Z","741","x3rehypi","true","64","0.2","0.00005","0.02","95","0.6688898205757141","0.7124999761581421","0.7205199003219604","0.4962941706180573","0.5379401445388794","0.5222792625427246","0.4930291473865509","0.49240005016326904","0.5036993622779846","0.45047318935394287","38975","0.5821486115455627","0.6076169013977051","0.6024971604347229","0.5894865393638611","0.6654479503631592","0.567785918712616"
"stilted-sweep-2","finished","-","krl1","","2022-06-01T09:13:45.000Z","4611","ztkzwxzk","false","64","0.3","0.000005","0.01","639","0.650397777557373","0.653124988079071","0.6620580554008484","0.5712007284164429","0.6237325668334961","0.6134672164916992","0.5805113911628723","0.5845571160316467","0.6095176339149475","0.5238139033317566","259839","0.5888823866844177","0.6536611318588257","0.6010990738868713","0.590526819229126","0.639026939868927","0.5333980917930603"
"earthy-sweep-8","finished","-","krl1","","2022-06-01T09:09:42.000Z","497","x3rehypi","false","4","0.3","0.01","0","5","0.6372926831245422","0.6000000238418579","0.632675051689148","0.6019130945205688","0.6929538249969482","0.676003098487854","0.648026168346405","0.6877281069755554","0.6783269047737122","0.5961602330207825","38969","0.6092509031295776","0.6779372096061707","0.6450566053390503","0.6847771406173706","0.6869621872901917","0.5663560032844543"
"generous-sweep-4","finished","-","krl1","","2022-06-01T08:55:34.000Z","625","x3rehypi","false","64","0.4","0.0001","0.01","132","0.6649040579795837","0.7593749761581421","0.7033527493476868","0.5150474905967712","0.489831268787384","0.556832492351532","0.5105656981468201","0.5150839686393738","0.5109157562255859","0.4549484252929687","53997","0.5897782444953918","0.6570672988891602","0.6098303198814392","0.5939609408378601","0.6598415970802307","0.5485033988952637"
"generous-sweep-5","finished","-","krl1","","2022-06-01T08:31:51.000Z","658","yc2km2zv","true","128","0.2","0.00005","0.02","165","0.654579222202301","0.7578125","0.7254288792610168","0.4811629354953766","0.5186697840690613","0.529943585395813","0.4825626015663147","0.4852432310581207","0.47922736406326294","0.4372357428073883","33697","0.5982471108436584","0.657812774181366","0.6311483979225159","0.6199472546577454","0.6966798901557922","0.5830550193786621"
"amber-sweep-2","finished","-","krl1","","2022-06-01T08:20:07.000Z","600","yc2km2zv","true","64","0.2","0.0001","0.02","78","0.6602997183799744","0.731249988079071","0.7333616018295288","0.48008549213409424","0.5332996249198914","0.5222879648208618","0.47918570041656494","0.4806642234325409","0.47560080885887146","0.4372895658016205","32073","0.5940791368484497","0.6558707356452942","0.6255325078964233","0.6136941313743591","0.6897509098052979","0.5742674469947815"
"usual-sweep-3","finished","-","krl1","","2022-06-01T08:03:31.000Z","3116","x3rehypi","false","8","0.3","0.000005","0.1","79","0.6365612149238586","0.574999988079071","0.6292200684547424","0.5956867933273315","0.6331979632377625","0.6435613632202148","0.6159546971321106","0.6375361084938049","0.6517499089241028","0.5512391328811646","259839","0.6066174507141113","0.6663979291915894","0.6199910044670105","0.6312810182571411","0.6643646359443665","0.531294047832489"
"astral-sweep-2","finished","-","krl1","","2022-06-01T07:46:21.000Z","1024","x3rehypi","false","4","0.3","0.001","0.1","12","0.675529956817627","0.6499999761581421","0.7089200019836426","0.5274035334587097","0.6215510368347168","0.5454736351966858","0.5230600237846375","0.523678719997406","0.5465407371520996","0.4722059667110443","84434","0.5789934992790222","0.6318597793579102","0.6023162603378296","0.5921351313591003","0.6431275010108948","0.5654652118682861"
"vivid-sweep-1","finished","-","krl1","","2022-06-01T06:40:59.000Z","3914","x3rehypi","false","64","0","0.00001","0.01","639","0.6589523553848267","0.6875","0.6908376216888428","0.5480854511260986","0.6235346794128418","0.5806645750999451","0.5522591471672058","0.5524280071258545","0.5803130865097046","0.49980416893959045","259839","0.56731778383255","0.6429370045661926","0.5963613986968994","0.6018034219741821","0.6402208209037781","0.5295279622077942"
"genial-sweep-50","finished","-","krl1","","2022-05-30T09:54:09.000Z","853","74r43ctv","false","2","0.1","0.005","0.05","4","0.6530296206474304","1","0.6872987747192383","0.5590231418609619","0.3122105300426483","0.6019850373268127","0.5654342770576477","0.5733031034469604","0.5860710740089417","0.5067886114120483","64944","0.603419840335846","0.6698439717292786","0.6202292442321777","0.6145493984222412","0.6776198744773865","0.535713255405426"
