"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_norm","batch_size","dropout","lr","negative_slope","epoch","train_acc_batch","train_acc_epoch","train_loss_agr_epoch","train_loss_batch","train_loss_con_epoch","train_loss_epoch","train_loss_ext_epoch","train_loss_neu_epoch","train_loss_ope_epoch","trainer/global_step","val_acc_epoch","val_loss_agr_epoch","val_loss_con_epoch","val_loss_epoch","val_loss_ext_epoch","val_loss_neu_epoch","val_loss_ope_epoch"
"dulcet-sweep-50","finished","-","krl1","","2022-05-30T11:32:14.000Z","24","np778738","false","2","0","0.001","0","4","1","0.6738383769989014","0.5297735929489136","0.41609349846839905","0.5593318343162537","0.5255962014198303","0.3574599325656891","0.4985836744308472","0.6828315854072571","989","0.6312500238418579","0.8674064874649048","0.8807655572891235","0.7157077193260193","0.679182767868042","0.5515397787094116","0.5996442437171936"
"light-sweep-49","finished","-","krl1","","2022-05-30T11:31:25.000Z","45","np778738","false","64","0.1","0.005","0.02","84","0.8999999761581421","0.826613187789917","0.2894442677497864","0.23802976310253143","0.3234470784664154","0.25319579243659973","0.20972852408885956","0.19419069588184357","0.24916842579841617","594","0.6006870865821838","0.7752204537391663","0.9589195251464844","0.7885493636131287","0.9683760404586792","0.639741837978363","0.6004889607429504"
"quiet-sweep-48","finished","-","krl1","","2022-05-30T11:30:40.000Z","36","np778738","true","8","0.4","0.0001","0.02","23","0.75","0.6279882192611694","0.6251998543739319","0.5899743437767029","0.5823536515235901","0.6274056434631348","0.6100777983665466","0.6353793740272522","0.684017539024353","1199","0.49589553475379944","0.7067447304725647","0.7028314471244812","0.697909951210022","0.6548178195953369","0.7017412185668945","0.7234143614768982"
"earthy-sweep-47","finished","-","krl1","","2022-05-30T11:30:13.000Z","23","np778738","true","2","0.2","0.001","0","2","0.800000011920929","0.6520202159881592","0.6128309369087219","0.6323354244232178","0.5901046395301819","0.6364144086837769","0.6559831500053406","0.6555988192558289","0.6675543189048767","593","0.5455882549285889","0.826449453830719","0.7808352112770081","0.733550488948822","0.681068480014801","0.73126620054245","0.648132860660553"
"youthful-sweep-46","finished","-","krl1","","2022-05-30T11:29:46.000Z","21","np778738","true","2","0.1","0.005","0.02","2","0.6000000238418579","0.6658248901367188","0.5725653171539307","0.5912724733352661","0.5711999535560608","0.6055346131324768","0.5928598046302795","0.6091589331626892","0.6818890571594238","593","0.6132352948188782","0.9485459923744202","0.8362629413604736","0.7999602556228638","0.8212616443634033","0.7906541228294373","0.6030765175819397"
"stellar-sweep-45","finished","-","krl1","","2022-05-30T11:27:29.000Z","132","np778738","false","64","0.3","0.00001","0.05","330","0.53125","0.5270636677742004","0.6165961623191833","0.6714218258857727","0.7123077511787415","0.6723302602767944","0.6730141043663025","0.6649547815322876","0.6947786211967468","2316","0.4368017613887787","0.7075456976890564","0.6936704516410828","0.6965386867523193","0.6768043041229248","0.6975126266479492","0.7071601748466492"
"sunny-sweep-44","finished","-","krl1","","2022-05-30T11:26:56.000Z","24","np778738","true","4","0.4","0.0001","0.01","7","0.6499999761581421","0.5226010084152222","0.6810478568077087","0.6608098149299622","0.6800236701965332","0.686446487903595","0.6725373864173889","0.6953592896461487","0.7032642364501953","791","0.6277777552604675","0.6828450560569763","0.6761195659637451","0.6738765239715576","0.6771606206893921","0.6877344250679016","0.6455231308937073"
"revived-sweep-43","finished","-","krl1","","2022-05-30T11:26:18.000Z","35","np778738","true","4","0.2","0.0001","0","14","0.550000011920929","0.5474410653114319","0.6794823408126831","0.6696552634239197","0.6267471313476562","0.6597170829772949","0.6670261025428772","0.6436395049095154","0.6816901564598083","1484","0.5805389285087585","0.6877243518829346","0.7053032517433167","0.6931949257850647","0.7163583040237427","0.7020426988601685","0.6545459628105164"
"usual-sweep-42","finished","-","krl1","","2022-05-30T11:25:45.000Z","30","np778738","true","16","0.3","0.001","0.02","19","0.8333333134651184","0.6952272653579712","0.4456348419189453","0.413049578666687","0.4870690405368805","0.4807630777359009","0.43737903237342834","0.5035995244979858","0.5301327109336853","499","0.4493421018123626","0.7956767678260803","0.9428938031196594","0.7910477519035339","0.8096463084220886","0.7885105013847351","0.6185111999511719"
"revived-sweep-41","finished","-","krl1","","2022-05-30T11:16:25.000Z","552","np778738","false","128","0.1","0.000005","0.01","1279","0.5833333134651184","0.4781806468963623","0.6905072331428528","0.7032217979431152","0.6411040425300598","0.6925932168960571","0.6880028247833252","0.771817684173584","0.6715344786643982","5119","0.5506848096847534","0.6935070753097534","0.6992681622505188","0.6743980646133423","0.6930645704269409","0.7169255614280701","0.5692246556282043"
